galaxy,split,formula_family,n_points,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond
F583-4,train,K_thick_flared,12,2.089348476842753,5.381087823103697,2.082201456830968,3.030905440483128,K_thick_flared,1,3.5635507443525736,3.224435411781761,2.3047301653150494,2.082201456830968,-0.9487039836521598,-0.00714702001178491,-3.298886366272729,True,True,True
KK98-251,train,K_scale_tail_spiral,15,8.181219377823203,10.870651981388162,10.145634482636188,7.812620859613115,K_thick_flared,4,9.592843144229768,10.145634482636188,8.527940983782191,5.317078450827385,2.3330136230230734,1.9644151048129856,-0.7250174987519742,False,False,True
NGC0055,train,K_scale_tail_spiral,21,13.646013162608714,17.518196226309797,15.43556462374903,13.409312103998177,K_thick_flared,4,15.33123174860928,15.43556462374903,13.994122903452643,10.902581659932608,2.0262525197508534,1.7895514611403165,-2.0826316025607667,False,False,True
NGC0100,train,K_exponential_disk,21,7.537919334963079,6.061732881040405,7.490060498202396,7.958911838757101,K_scale_tail_spiral,2,8.61455350874197,7.060597652711654,7.490060498202396,8.201584354817681,-0.46885134055470434,-0.0478588367606827,1.4283276171619912,True,True,False
NGC0247,train,K_exponential_disk,26,3.866312004062215,5.475417572666649,3.7923855367794017,4.068566140900965,K_compact_finite,2,3.0092061560812726,3.9759938829272934,3.7923855367794017,5.220498383694328,-0.27618060412156353,-0.07392646728281349,-1.6830320358872477,True,True,True
NGC0289,train,K_thick_flared,28,13.44827134683854,23.595309185371484,11.962515044333646,14.19062180617263,K_thick_flared,1,14.13230569393993,14.775142972343795,13.664416752234157,11.962515044333646,-2.2281067618389834,-1.4857563025048943,-11.632794141037838,True,True,True
NGC0300,train,K_exponential_disk,25,9.83189803567648,5.607034629923943,9.528622901889419,9.768498633758993,K_scale_tail_spiral,3,9.058157485088776,8.274074545564742,9.528622901889419,11.97326387062346,-0.23987573186957434,-0.3032751337870607,3.9215882719654758,True,True,False
NGC0801,train,K_thick_flared,13,31.348134413644825,35.306528941160416,30.044042265059407,31.958704977857952,K_thick_flared,1,31.646453382645873,32.72135289624189,31.508308654686093,30.044042265059407,-1.9146627127985454,-1.3040921485854184,-5.262486676101009,True,True,True
NGC0891,train,K_compact_finite,18,29.637636010909365,32.67571266789567,31.61247283167424,29.543364681121044,K_thick_flared,4,31.61247283167424,30.645947081359623,29.883197201018945,28.100949760984566,2.0691081505531947,1.9748368207648745,-1.0632398362214275,False,False,True
NGC1003,train,K_scale_tail_spiral,36,11.228797331872782,8.233924992844548,10.355370523999339,11.743993785074698,K_scale_tail_spiral,1,11.737711418316222,10.355370523999339,11.092868136043124,12.401401800864749,-1.3886232610753595,-0.8734268078734431,2.121445531154791,True,True,False
NGC1090,train,K_thick_flared,24,15.259685358845738,18.764009439287914,13.57827720463022,16.317925701362324,K_thick_flared,1,16.815832619243793,16.623377989331196,15.514566495511975,13.57827720463022,-2.7396484967321033,-1.681408154215518,-5.185732234657694,True,True,True
NGC1705,train,K_scale_tail_spiral,14,20.59864390810048,16.95201559286103,18.879741260430514,20.790410346859197,K_scale_tail_spiral,1,19.03708570303181,18.879741260430514,20.266067236152963,23.06807810139282,-1.9106690864286833,-1.7189026476699674,1.927725667569483,True,True,False
NGC2366,train,K_scale_tail_spiral,26,8.175530891777854,11.387781875806942,9.917835099241454,7.995787604699767,K_thick_flared,4,9.801128863962276,9.917835099241454,8.481012618001058,5.705221332135961,1.9220474945416877,1.7423042074636008,-1.4699467765654877,False,False,True
NGC2403,train,K_exponential_disk,73,9.860995949284607,6.239762201686606,9.75984723187411,9.835793197709746,K_scale_tail_spiral,3,9.522750802423516,8.507185294084914,9.75984723187411,11.477443496620811,-0.07594596583563629,-0.10114871741049747,3.520085030187504,True,True,False
NGC2841,train,K_compact_finite,50,59.09007494417434,53.02346081870857,57.268705061084155,59.16795122739069,K_compact_finite,1,57.268705061084155,57.403445336207355,58.80697495192836,61.293433394036356,-1.8992461663065328,-1.8213698830901848,4.245244242375584,True,True,False
NGC2903,train,K_thick_flared,34,24.362146162225375,24.96300377208502,24.219918560372964,24.868502022524705,K_thick_flared,1,25.903048349382757,24.323353098814717,24.379104619376637,24.219918560372964,-0.6485834621517412,-0.14222760185241157,-0.7430852117120565,True,True,True
