galaxy,split,formula_family,n_points,rmse_matched,rmse_wrong_mean,rmse_newton,rmse_tpg_v6,rmse_mond,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
NGC2955,train,K_compact_finite,24,20.181777038766118,28.557776891174427,42.64993554277889,19.782113998497127,23.273161362253415,-8.37599985240831,-22.468158504012774,0.39966304026899024,-3.091384323487297,20.181777038766118,32.365514413962515,27.99317800058578,25.31463825897498
NGC2976,train,K_thick_flared,27,7.716517698470905,136.13708721010542,14.260040448565771,5.11693008193194,5.678104979086942,-128.4205695116345,-6.5435227500948665,2.5995876165389644,2.038412719383963,379.44852389401564,20.920083380253708,8.042654356046917,7.716517698470905
NGC2998,train,K_thick_flared,13,38.043220979160424,49.34048225470385,71.792278099358,27.11504519134483,27.07347466768693,-11.297261275543427,-33.74905712019758,10.928175787815594,10.969746311473493,47.085447718921166,58.614057786782496,42.32194125840789,38.043220979160424
NGC3109,train,K_scale_tail_spiral,25,7.486797884029803,69.6504285396831,32.07944925871144,9.323880057063088,5.041785679362137,-62.1636306556533,-24.592651374681637,-1.8370821730332842,2.445012204667666,187.93799992184623,7.486797884029803,10.539653535897452,10.473632161305625
NGC3198,train,K_thick_flared,43,28.817476676193543,35.77050372174312,56.10018925823561,7.704000492040528,11.179050056995646,-6.953027045549575,-27.282712582042066,21.113476184153015,17.638426619197897,44.077968551879366,30.18608536545518,33.0474572478948,28.817476676193543
NGC3521,train,K_thick_flared,41,23.84213602411757,43.64451074152351,35.20819118432227,7.110920589361769,6.814883835390855,-19.802374717405943,-11.366055160204699,16.7312154347558,17.027252188726713,83.02331808868543,22.13989368597389,25.770320449911235,23.84213602411757
NGC3741,train,K_scale_tail_spiral,21,13.520454885624618,80.17554751439128,25.903475084314856,7.821498388140469,2.7212527031991094,-66.65509262876667,-12.383020198690238,5.698956497484149,10.799202182425509,218.63857871012368,13.520454885624618,10.494967371576362,11.39309646147381
NGC3769,train,K_thick_flared,12,17.873853620860086,23.757107214238868,50.35656246265608,11.2553126000523,15.980528592616563,-5.883253593378782,-32.482708841796,6.618541020807786,1.8933250282435221,32.63719309904498,24.610128614729113,14.023999928942505,17.873853620860086
NGC3877,train,K_thick_flared,13,15.059387933141887,35.168686470329995,33.84095588590208,22.419419150236873,23.91875443404216,-20.10929853718811,-18.7815679527602,-7.360031217094987,-8.859366500900274,67.751202201177,21.794284477013374,15.960572732799626,15.059387933141887
NGC3893,train,K_thick_flared,10,12.634615376456821,26.342426514352777,58.424136708413236,7.421761571780209,6.883534927974165,-13.707811137895956,-45.789521331956415,5.212853804676612,5.751080448482656,14.869340967060307,43.66850624509259,20.489432330905434,12.634615376456821
NGC3917,train,K_exponential_disk,17,10.065245024516695,29.55864101356758,50.96833813740423,6.899654025227952,6.637702160319162,-19.493395989050885,-40.90309311288753,3.165590999288743,3.427542864197533,52.70644729566726,30.289442438328056,10.065245024516695,5.6800333067074344
NGC3953,train,K_thick_flared,8,12.624632871219516,25.53267364860713,49.90378454420272,10.449994650865388,10.343662263567392,-12.908040777387614,-37.279151672983204,2.1746382203541277,2.280970607652124,18.448387994117617,39.022591133645356,19.127041818058416,12.624632871219516
NGC3992,train,K_thick_flared,9,21.011877375490105,67.85396197981716,105.26043069104036,21.62991458359259,18.53931925672739,-46.842084604327056,-84.24855331555025,-0.6180372081024856,2.4725581187627164,80.70805633681401,93.85929432664072,28.994535275996768,21.011877375490105
NGC4010,train,K_exponential_disk,12,12.92106620763228,41.57643773336801,36.86370394291005,10.799199499954586,11.798351296716529,-28.65537152573573,-23.94263773527777,2.121866707677695,1.122714910915752,93.97476663491449,17.921489399431298,12.92106620763228,12.833057165758245
NGC4051,train,K_thick_flared,7,12.973383983481298,28.23220748189266,23.600374430425113,23.162699244292835,25.364933901873997,-15.258823498411363,-10.626990446943815,-10.189315260811536,-12.391549918392698,66.99589142487703,10.09071109475882,7.610019926042141,12.973383983481298
NGC4068,train,K_scale_tail_spiral,6,29.891023747402585,126.48816880224513,9.428676806463026,9.789559083112076,11.389697947293712,-96.59714505484254,20.46234694093956,20.10146466429051,18.501325800108873,350.625788784939,29.891023747402585,13.42929929139231,15.40941833040411
