Name,xc,yc,PA,Ell,Rmin,Rmax,Flag,S4G,Simbad,NED,Nf,Comm,Tmag,q,PA1,n,Re,_RA,_DE
PGC069339,508.0,767.0,126.6,0.09,24,27,ok,S4G,Simbad,NED,1,,14.92,0.963,154.65,0.685,21.36,339.33917,-8.46194
PGC069404,498.8,778.25,52.9,0.938,56,60,u,S4G,Simbad,NED,0,No fit,,,,,,339.73792,-5.85306
PGC069415,495.04,780.05,73.0,0.421,15,18,u,S4G,Simbad,NED,1,,15.32,0.637,73.66,1.376,34.18,339.78667,-4.76
PGC069448,490.42,779.13,90.9,0.346,56,71,ok,S4G,Simbad,NED,2,,12.66,0.71,87.71,1.09,30.37,340.06299,-2.42404
PGC069691,530.77,756.24,109.7,0.798,60,75,z,S4G,Simbad,NED,2,,14.65,0.157,110.27,0.88,31.87,341.6,-14.18
PGC070657,574.98,754.79,176.9,0.841,37,44,z,S4G,Simbad,NED,1,,15.79,0.163,175.99,0.945,30.05,347.89917,-15.47583
PGC071479,628.42,741.55,139.6,0.5,30,37,ok,S4G,Simbad,NED,2,,14.95,0.433,143.34,0.949,12.59,351.83847,-23.50074
PGC072006,285.09,279.2,53.5,0.647,37,60,ok,S4G,Simbad,NED,1,,14.99,0.324,53.32,0.821,26.09,354.70292,-5.7475
PGC072252,285.91,277.94,55.2,0.389,39,47,ok,S4G,Simbad,NED,3,,13.55,0.477,42.46,1.61,24.98,356.04379,-6.16959
PGC090540,277.29,274.58,26.6,0.78,28,32,z,S4G,Simbad,NED,1,,16.91,0.176,27.13,0.659,19.58,20.34921,-1.86281
PGC090553,532.03,771.18,79.5,0.818,33,39,z,S4G,Simbad,NED,1,,16.07,0.145,79.87,0.699,23.36,23.88208,2.03139
PGC090694,263.1,267.59,136.8,0.794,30,32,z,S4G,Simbad,NED,1,,15.24,0.166,136.69,1.141,18.64,56.82596,-14.69694
